Adapter,1
The Adolf Philipp Company,1
Frank Smithson,1
Hy. Mayer,1
Charles Brown,1
Edwin Wakefield,1
Staged director,1
Mrs. Wagner,1
Tony Forte,1
A. Lefkowitz,1
Wm. P. Nolan,1
Chas. Stade,1
Horace J. Hain,1
Robert W. Priest,1
Harriet Ford and Harvey J. O'Higgins,1
Consultant,1
Detective Wm. J. Burns,1
Gustav von Seyffertitz and Robert Hilliard,1
Copywright holder,1
K. M. Turner,1
George W. Sammis,1
Ralph Theadore,1
James Kelly,1
Composer of Additional Numbers,1
Manager of Lederer's Costume Department,1
Additional Numbers,1
Mr. George W. Lederer,1
Costume Manager,1
Composer of Incidental Music,1
Frederic Knight Logan,1
T. Bernard MacDonald,1
H. A. Ogden,1
First Violinist of the Olcott Company,1
Albert Pearl,1
George Brennan,1
Edw. F. Kendall,1
Edmund Shalet,1
John Borden,1
Karl Kummer,1
Alex. Blair,1
Karl Kammer,1
Albert Kester,1
Homer F. Emens and Unitt & Wickes,1
"Dermot MacMurrough, Chauncey Olcott, Louis Weslyn, Ernest R. Ball, Dan J. Sullivan, Frederic Knight Logan",1
Lew Fields' Midsummer Production,1
Mr.Paul Schindler,1
Mr. Fields' Agent,1
Mr. Weber's Agent,1
Julius Wilhelm,1
Fritz Grunbaum,1
Julius Wilhelm and Fritz Grunbaum,1
English Book and Lyrics,1
C. C. S. Cushing and E. P. Heath,1
Albert Pesce,1
Harry Child,1
Robert Buchanan,1
Joseph Donohue,1
Joseph Smith,1
Hugh McManus,1
William C. Elliott,1
Mrs. D. L. Keating,1
"PALI RACK, the Gypsy Leader",1
J.K. MURRAY,1
Edward O'Hara,1
Mechanical Effect,1
Electrical Effect,1
Henry Gebhart,1
Ernest Gros; Ronsin; Dodge & Castle,1
Kate Douglas Wiggin and Charlotte Thompson,1
Kate Douglas Wiggin,1
Lawrence Marston,1
M. P. Kreuger,1
Representative for Klaw & Erlanger,1
Edward G. Cooke,1
Machinist,1
H. R. Johnson,1
Charles Gibler,1
Arthur Ellick,1
Harry Buchanan,1
Globe Electric Company,1
Scene Construction,1
Platzer,1
"Klaw & Erlanger, Mr. Joseph Brooks",1
C. P. Schwager,1
The Dormet Film Company,1
Electrican,1
T. D. Bonneville,1
Source Material,1
Script Elaborator,1
Lottie Blair Parker and Joseph R. Grismer,1
E. D. Price,1
Reginald Barker,1
Alden Wheeler,1
George H. Smith,1
Barney Goldberg,1
"Agent of Frazer, Bunce and Moran",1
Agent of Ben Edwards,1
Agent for Eleanor Fischer,1
Agent for Harry Thompson,1
Agent for Sidney C. Gibson,1
"Joe Rose, College Inn",1
Agent for Eddie Cline,1
Announcer for Kohl and Wood,1
Eddie Mannix,1
Agent for Bob Fisher,1
Emma Trantini,1
Agent for Dick Richards,1
Minden Cabaret,1
Moses Richter,1
Jacob Gordin,1
Thomas Bennett,1
Lew Pollack,1
"Augustus Pitou, Jr. Inc.",1
"Augustus Pitou, Sr.",1
"Augustus Pitou, Jr.",1
Myles Murphy,1
Walter Harmon,1
Don Merrifield,1
James E. Miller,1
Linda Bloodgood,1
Sam Moyed,1
Frank Pecchia,1
Edward Myers,1
Ed. Morris,1
Cohan and Harris' Own Company,1
"Mrs. Stingley, Chicago",1
Fiske O'Hara and Linda Bloodgood,1
Charles Dillingham,1
George Ade,1
Charles Zimmerman,1
Acting Manager for Mr. Dillingham,1
Arthur Houghton,1
Stage Manager for Mr. Dillingham,1
Mack Whiting,1
Mr. Harry F. Fulton,1
Mr. Arthur Houghton,1
The Pearl Maiden Co. (Inc),1
Librettists,1
Earle C. Anthony and Arthur F. Kales,1
Al. Holbrook,1
Adolphe Mayer,1
Advance Representative,1
P. S. Mattox,1
Director of Music,1
Asst. Director of Stage,1
Librettist,1
Arthur F. Kales,1
Wm. H. Fitzgerald,1
Properties Master,1
Libretto,1
Earle C. Anthony,1
Cartoonist creator,1
Authors of Book,1
